name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
beside you *by* keshi,0.711,0.747,0,-6.335,1,0.0523,0.459,0,0.0957,0.852,136.0,audio_features,1Fhb9iJPufNMZSwupsXiRe,spotify:track:1Fhb9iJPufNMZSwupsXiRe,https://api.spotify.com/v1/tracks/1Fhb9iJPufNMZSwupsXiRe,https://api.spotify.com/v1/audio-analysis/1Fhb9iJPufNMZSwupsXiRe,166023,4
I Like Me Better *by* Lauv,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,audio_features,2P91MQbaiQOfbiz9VqhqKQ,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,https://api.spotify.com/v1/tracks/2P91MQbaiQOfbiz9VqhqKQ,https://api.spotify.com/v1/audio-analysis/2P91MQbaiQOfbiz9VqhqKQ,197437,4
Never Not *by* Lauv,0.47,0.221,5,-9.243,1,0.0371,0.693,0,0.104,0.264,133.714,audio_features,4fFfyouye6vrX9o9z4PVMu,spotify:track:4fFfyouye6vrX9o9z4PVMu,https://api.spotify.com/v1/tracks/4fFfyouye6vrX9o9z4PVMu,https://api.spotify.com/v1/audio-analysis/4fFfyouye6vrX9o9z4PVMu,208000,4
Malibu Nights *by* LANY,0.559,0.422,11,-11.89,1,0.195,0.701,1.99e-06,0.0853,0.191,74.002,audio_features,0Eqg0CQ7bK3RQIMPw1A7pl,spotify:track:0Eqg0CQ7bK3RQIMPw1A7pl,https://api.spotify.com/v1/tracks/0Eqg0CQ7bK3RQIMPw1A7pl,https://api.spotify.com/v1/audio-analysis/0Eqg0CQ7bK3RQIMPw1A7pl,286928,4
I Took A Pill In Ibiza - Seeb Remix *by* Mike Posner,0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,audio_features,1MtUq6Wp1eQ8PC6BbPCj8P,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,https://api.spotify.com/v1/tracks/1MtUq6Wp1eQ8PC6BbPCj8P,https://api.spotify.com/v1/audio-analysis/1MtUq6Wp1eQ8PC6BbPCj8P,197933,4
i'm so tired... *by* Lauv,0.576,0.736,11,-7.572,1,0.224,0.178,0,0.238,0.484,101.928,audio_features,4vjpLMyL3ZO6aphdYr8XYw,spotify:track:4vjpLMyL3ZO6aphdYr8XYw,https://api.spotify.com/v1/tracks/4vjpLMyL3ZO6aphdYr8XYw,https://api.spotify.com/v1/audio-analysis/4vjpLMyL3ZO6aphdYr8XYw,162587,4
Stranger *by* Lauv,0.65,0.538,5,-7.511,1,0.0464,0.128,4.95e-06,0.127,0.501,153.179,audio_features,3aUD2nXnCYiGd9V1UhfyRz,spotify:track:3aUD2nXnCYiGd9V1UhfyRz,https://api.spotify.com/v1/tracks/3aUD2nXnCYiGd9V1UhfyRz,https://api.spotify.com/v1/audio-analysis/3aUD2nXnCYiGd9V1UhfyRz,164689,4
Who (feat. BTS) *by* Lauv,0.632,0.339,11,-7.983,0,0.0337,0.546,0,0.104,0.0969,141.642,audio_features,2qG81jL9UIP54uS8gYyP4k,spotify:track:2qG81jL9UIP54uS8gYyP4k,https://api.spotify.com/v1/tracks/2qG81jL9UIP54uS8gYyP4k,https://api.spotify.com/v1/audio-analysis/2qG81jL9UIP54uS8gYyP4k,180413,3
Sad Forever *by* Lauv,0.747,0.488,5,-8.939,1,0.0607,0.456,0,0.0799,0.358,122.023,audio_features,1DVWkJEjgVStgU2EbR9vpz,spotify:track:1DVWkJEjgVStgU2EbR9vpz,https://api.spotify.com/v1/tracks/1DVWkJEjgVStgU2EbR9vpz,https://api.spotify.com/v1/audio-analysis/1DVWkJEjgVStgU2EbR9vpz,203520,4
you broke me first *by* Tate McRae,0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148,audio_features,45bE4HXI0AwGZXfZtMp8JR,spotify:track:45bE4HXI0AwGZXfZtMp8JR,https://api.spotify.com/v1/tracks/45bE4HXI0AwGZXfZtMp8JR,https://api.spotify.com/v1/audio-analysis/45bE4HXI0AwGZXfZtMp8JR,169266,4
Demons *by* Imagine Dragons,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,audio_features,3LlAyCYU26dvFZBDUIMb7a,spotify:track:3LlAyCYU26dvFZBDUIMb7a,https://api.spotify.com/v1/tracks/3LlAyCYU26dvFZBDUIMb7a,https://api.spotify.com/v1/audio-analysis/3LlAyCYU26dvFZBDUIMb7a,175200,4
everything sucks *by* vaultboy,0.76,0.371,6,-8.964,1,0.0531,0.00772,0,0.0785,0.653,138.023,audio_features,3z06k8YF9CqX0CGFrlekOK,spotify:track:3z06k8YF9CqX0CGFrlekOK,https://api.spotify.com/v1/tracks/3z06k8YF9CqX0CGFrlekOK,https://api.spotify.com/v1/audio-analysis/3z06k8YF9CqX0CGFrlekOK,115402,4
Pancakes for Dinner *by* Lizzy McAlpine,0.753,0.266,11,-11.453,1,0.0478,0.759,0,0.11,0.321,142.026,audio_features,4HffeEF97c6UxNePgbuECW,spotify:track:4HffeEF97c6UxNePgbuECW,https://api.spotify.com/v1/tracks/4HffeEF97c6UxNePgbuECW,https://api.spotify.com/v1/audio-analysis/4HffeEF97c6UxNePgbuECW,235035,4
Better Friends *by* Abby Cates,0.675,0.316,11,-13.154,1,0.0711,0.599,0,0.107,0.512,139.975,audio_features,16HvU7Y8TNgVjzm987FIco,spotify:track:16HvU7Y8TNgVjzm987FIco,https://api.spotify.com/v1/tracks/16HvU7Y8TNgVjzm987FIco,https://api.spotify.com/v1/audio-analysis/16HvU7Y8TNgVjzm987FIco,180429,4
Popcorn Salé *by* SANTA,0.355,0.29,3,-8.182,1,0.0338,0.881,0.00374,0.106,0.0859,168.345,audio_features,4MpqiN2moRQR2t0DO43MZH,spotify:track:4MpqiN2moRQR2t0DO43MZH,https://api.spotify.com/v1/tracks/4MpqiN2moRQR2t0DO43MZH,https://api.spotify.com/v1/audio-analysis/4MpqiN2moRQR2t0DO43MZH,238653,4
Crazy - Live Sessions *by* Madilyn Bailey,0.517,0.25,0,-8.381,0,0.0355,0.919,0,0.101,0.249,102.631,audio_features,15byLK9MadQ44VM9opaGms,spotify:track:15byLK9MadQ44VM9opaGms,https://api.spotify.com/v1/tracks/15byLK9MadQ44VM9opaGms,https://api.spotify.com/v1/audio-analysis/15byLK9MadQ44VM9opaGms,176068,4
Like Strangers Do *by* AJ Mitchell,0.633,0.242,3,-8.523,0,0.0761,0.515,0,0.0839,0.694,98.219,audio_features,0Wc6cbF38a90b8wov9V63F,spotify:track:0Wc6cbF38a90b8wov9V63F,https://api.spotify.com/v1/tracks/0Wc6cbF38a90b8wov9V63F,https://api.spotify.com/v1/audio-analysis/0Wc6cbF38a90b8wov9V63F,160791,4
What Did I Do? *by* Hayd,0.586,0.279,6,-11.871,1,0.0331,0.795,0.00477,0.11,0.202,142.016,audio_features,3olUFMwgASQGeXrlm4g6OH,spotify:track:3olUFMwgASQGeXrlm4g6OH,https://api.spotify.com/v1/tracks/3olUFMwgASQGeXrlm4g6OH,https://api.spotify.com/v1/audio-analysis/3olUFMwgASQGeXrlm4g6OH,215784,4
In The Stars *by* Benson Boone,0.362,0.54,10,-6.031,1,0.0528,0.338,0,0.139,0.3,78.007,audio_features,5bFg6rdrEWuuc1D760jbcg,spotify:track:5bFg6rdrEWuuc1D760jbcg,https://api.spotify.com/v1/tracks/5bFg6rdrEWuuc1D760jbcg,https://api.spotify.com/v1/audio-analysis/5bFg6rdrEWuuc1D760jbcg,216410,3
